Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time,File_ID,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance,Current_charge,Voltage_charge,type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,hour,day,month,year
0.9999472218736027,1.0000000000000002,0.2374341141237406,0.0,0.0,0.0,0.0,0.43241261344166465,0.2483610026057308,0.05547672993843289,0.62104720177536,0.38863132670109535,0.5075419037071094,0.6289032544064499,0,2025-01-01 00:00:00,0.4981883287742511,0.08333333333333333,0.29047619047619044,0,0,0.9279340992774836,0.11467631859861632,0.9718792100809369,0,1,1,2025
1.0,0.9983387948348967,0.2416369196368584,0.0,1.0,0.0017920306330022734,0.0,0.26044536230346654,0.11388559068321198,0.27012715434220613,0.8714376211474493,0.5877914540924465,0.8494180928976724,0.6326813472367521,0,2025-01-01 01:00:00,0.920815461164498,0.04166666666666667,0.0007518796992481147,1,1,0.09017148775233963,0.4533244674911677,0.9828040805885491,1,1,1,2025
0.7928812828777341,0.005999813830025125,0.2448370778872908,1.0,0.81299859221023,0.004457293287064736,0.0,0.7496294459078854,0.8697930626466533,0.07004343444387029,0.8876539549129343,0.9166343633721661,0.8762106312203728,0.12318314379698903,3,2025-01-01 02:00:00,0.6989777797715896,0.22916666666666666,0.2092731829573935,2,2,0.38602651492046913,0.5133132791110039,0.13783403947437448,2,1,1,2025
0.773145800314853,0.004364379777612948,0.2550709126644761,1.0,0.8097137494134211,0.006970156754816321,0.0,0.4119703816838998,0.06243007969865161,0.6843269696786773,0.9576172006745016,0.8595374808284283,0.31100060013649494,0.6652057680831933,2,2025-01-01 03:00:00,0.6587494116829812,0.4583333333333333,0.35413533834586464,3,3,0.6242661473714852,0.9620400146498551,0.9917787176014655,3,1,1,2025
0.7584288046403413,0.008245550692941528,0.2667925092702852,1.0,0.8066635382449556,0.009501017111403614,0.0,0.8877804311971124,0.36019426302236257,0.22881136846172767,0.3188574939418461,0.8142324425095959,0.37162998789981244,0.42945743524604785,3,2025-01-01 04:00:00,0.1641915227491182,0.7499999999999999,0.5260651629072681,4,4,0.4440984813568227,0.15577496840008395,0.556248164012258,4,1,1,2025
0.7465493809298063,0.0051377837919827085,0.274291869037234,1.0,0.8040825903331771,0.012025942323800408,0.0,0.7981116425503145,0.7289662397392574,0.0406578193521252,0.004647544662699243,0.5749734312914129,0.6092231681217894,0.9137396266618247,3,2025-01-01 05:00:00,0.7251706710352911,0.6249999999999999,0.3912280701754386,5,5,0.8500139445260424,0.25253659113951754,0.9557933634406378,5,1,1,2025
0.7360521388075183,0.006427843390571897,0.24155693118284716,1.0,0.8022055373064291,0.014529807347134141,0.0,0.58129907805568,0.5093344154908857,0.09129293544171402,0.23817872163232506,0.6900386693870729,0.6670840428853169,0.09891460069195102,2,2025-01-01 06:00:00,0.8631224850789451,0.020833333333333332,0.9218045112781954,6,6,0.32831952095269434,0.9083225022667076,0.4830523078624902,6,1,1,2025
0.7261807125802915,0.0023452441562116233,0.19252545837862556,1.0,0.7977475363679025,0.01704554265884887,0.0,0.4481426551966872,0.34735785248967227,0.31181186146697915,0.6638521231838937,0.5730023105294085,0.7551252560857831,0.8167521924454859,2,2025-01-01 07:00:00,0.39708765250556943,0.8333333333333333,0.4080200501253133,7,7,0.8475712332883529,0.6509865203467727,0.04131173323620402,7,1,1,2025
0.717478420876621,0.00695214462459226,0.1674632616681886,1.0,0.795635851712811,0.019555534282637312,0.0,0.8116644644817179,0.6792750161279462,0.9195022377558635,0.8406888302725501,0.686618973783927,0.6285298590722317,0.37144597099993604,1,2025-01-01 08:00:00,0.8814334054102052,0.4791666666666667,0.29223057644110273,8,8,0.4574543775492077,0.3376338250860902,0.8788472644610551,8,1,1,2025
0.7091854032193052,0.007294610016519987,0.15063276222839694,1.0,0.7944626935710936,0.022074332894579395,0.0,0.7624585314522347,0.21284667897667936,0.7594408383816105,0.1349084960457337,0.8461403783365973,0.7768486189527004,0.9784467783820547,0,2025-01-01 09:00:00,0.5549322206353279,0.7499999999999999,0.4892230576441102,9,9,0.0458057698912806,0.5132707364678664,0.7196967629843294,9,1,1,2025
0.7016724680713544,0.006972048679736331,0.12671631224273971,1.0,0.793289535429376,0.024590259662558334,0.0,0.5909714668892813,0.9022005509291947,0.8236017533454225,0.6104048061617239,0.9146549397277698,0.5394482465406503,0.5111842678203926,2,2025-01-01 10:00:00,0.02985400911877656,0.6874999999999999,0.0012531328320802282,10,10,0.3004794070455823,0.3322361574502106,0.8343072531273402,10,1,1,2025
0.6945540552079206,0.005899858143736059,0.11108574171312036,1.0,0.7921163772876585,0.027105994974273066,0.0,0.9655499601442986,0.5275608965941617,0.8156942289150968,0.22762167277051032,0.11916603788986385,0.9059216362282785,0.16768764293731442,2,2025-01-01 11:00:00,0.25293550551062804,0.3541666666666667,0.46842105263157896,11,11,0.564436830792757,0.1698516702174699,0.8060474193002796,11,1,1,2025
0.6876380742897168,0.005399889969152749,0.10005603740946967,1.0,0.7907085875175975,0.029621921742252005,0.0,0.40276083510649935,0.07977080459194533,0.6323572551354495,0.10205991682217067,0.6107445561368695,0.7182413806075849,0.3392042974599496,0,2025-01-01 12:00:00,0.20525094250365228,0.020833333333333332,0.38546365914786973,12,12,0.05036019015631421,0.8089977131933557,0.8710267510806562,12,1,1,2025
0.6811952697582253,0.00700677566852681,0.08844557251816676,1.0,0.7897700610042235,0.03212885006581309,0.0,0.3195831598537948,0.2775717601753885,0.23620147615048337,0.541687348325817,0.18136853381872162,0.18510339685185717,0.31876328545208565,3,2025-01-01 13:00:00,0.8843100293805491,0.9999999999999999,0.7305764411027569,13,13,0.6487587068272203,0.12937150781846685,0.942575737185413,13,1,1,2025
0.6750118917986994,0.006026901160903098,0.07306670727413755,1.0,0.788596902862506,0.03463558693310997,0.0,0.4332318006848558,0.6836250938925418,0.07314260013122675,0.17936113856994138,0.5404424233118071,0.40689301543395046,0.936933751080471,3,2025-01-01 14:00:00,0.09379327607281085,0.5624999999999999,0.7491228070175439,14,14,0.5160776265966103,0.7201787237653701,0.5424377275344544,14,1,1,2025
0.6690328743541611,0.004525522632567891,0.06037754658306449,1.0,0.787189113092445,0.03714251525667105,0.0,0.3450032996383583,0.3440446925715421,0.18838840655427624,0.3942552412672123,0.6370814639057117,0.7946985073342168,0.283220018792012,3,2025-01-01 15:00:00,0.908206120327763,0.9166666666666666,0.8736842105263158,15,15,0.34567508727590646,0.21561627652494716,0.8111526952185572,15,1,1,2025
0.6634845318912892,0.005931932723191147,0.052519225476958864,1.0,0.786250586579071,0.0396525068804595,0.0,0.7920455553748276,0.7130717950930273,0.9993565905750854,0.4529396391246645,0.9901872291738317,0.4007707336549227,0.2901650990947302,1,2025-01-01 16:00:00,0.6733270225102684,0.5833333333333333,0.8177944862155389,16,16,0.056938521973618705,0.8227873359149237,0.33112398084774874,16,1,1,2025
0.6580342460204522,0.006649816896823535,0.032804370784301984,1.0,0.7850774284373535,0.042162307047983724,0.0,0.493803764443309,0.3786245117034202,0.5728064373859003,0.2148400333573803,0.23071231664201933,0.5227798254453542,0.8007807214554075,0,2025-01-01 17:00:00,0.6564590800402105,0.6666666666666666,0.0007518796992481147,17,17,0.537818586835733,0.20011802512807456,0.3588546235461304,17,1,1,2025
